CouncilName,Year,Residual,Commingled,Total
Darebin City Council,2011,27.2,15.9,54.73
Darebin City Council,2012,26.2,15.3,52.35
Darebin City Council,2013,24.6,13.9,49.35
Darebin City Council,2014,26.5,14.4,51.06
Darebin City Council,2015,26.9,14.2,51.08
Darebin City Council,2016,27.5,14.1,52.87
Glen Eira City Council,2011,32.2,14.5,54.91
Glen Eira City Council,2012,27,13.8,49.04
Glen Eira City Council,2013,26.2,13.3,48.9
Glen Eira City Council,2014,31.1,13.4,55.18
Glen Eira City Council,2015,31,13.5,55.67
Glen Eira City Council,2016,30.7,13.2,56.31
Hobsons Bay City Council,2011,18.2,10.3,36.8
Hobsons Bay City Council,2012,18,9.924,35.45
Hobsons Bay City Council,2013,18.6,10.3,36.95
Hobsons Bay City Council,2014,18.7,10.1,35.9
Hobsons Bay City Council,2015,18.8,10.1,36.1
Hobsons Bay City Council,2016,19.3,9.486,37
Maribyrnong City Council,2011,20.5,6.373,27.37
Maribyrnong City Council,2012,19.5,7.43,28.74
Maribyrnong City Council,2013,17.3,8,27.05
Maribyrnong City Council,2014,19.5,7.836,29.35
Maribyrnong City Council,2015,18.6,7.02,27.67
Maribyrnong City Council,2016,17.6,7.528,27.23
Melbourne City Council,2011,20.9,7.106,28.04
Melbourne City Council,2012,21.4,6.83,28.24
Melbourne City Council,2013,24.6,7.473,32.08
Melbourne City Council,2014,26.4,7.894,34.36
Melbourne City Council,2015,21.1,9.036,30.14
Melbourne City Council,2016,25.9,9.533,35.55
Moonee Valley City Council,2011,22,16.1,46.91
Moonee Valley City Council,2012,21.8,14,43.67
Moonee Valley City Council,2013,23.5,12.1,42.39
Moonee Valley City Council,2014,23.6,11,42.3
Moonee Valley City Council,2015,24.2,11.3,42.97
Moonee Valley City Council,2016,24.5,10.8,43.82
Moreland City Council,2011,30,16.5,56.27
Moreland City Council,2012,31.6,16.4,56.88
Moreland City Council,2013,32.6,16.6,58.04
Moreland City Council,2014,29.6,16,54.05
Moreland City Council,2015,30.4,16.4,55.44
Moreland City Council,2016,30.6,16.5,57.12
Port Phillip City Council,2011,21.5,13.1,34.62
Port Phillip City Council,2012,20.8,12.1,32.91
Port Phillip City Council,2013,21.4,11.5,32.93
Port Phillip City Council,2014,21.3,11.2,32.52
Port Phillip City Council,2015,21.5,11.1,32.56
Port Phillip City Council,2016,21.6,10.6,32.14
Stonnington City Council,2011,21.8,11.6,37.59
Stonnington City Council,2012,19.7,10.4,34.01
Stonnington City Council,2013,21,10.2,34.99
Stonnington City Council,2014,24.3,10.3,38.49
Stonnington City Council,2015,24.4,10.2,37.77
Stonnington City Council,2016,22.3,9.715,35.37
Yarra City Council,2011,14.5,9.492,24.3
Yarra City Council,2012,14.5,9.023,23.79
Yarra City Council,2013,15.3,9.211,24.91
Yarra City Council,2014,15.3,9.092,24.78
Yarra City Council,2015,15.8,9.347,25.46
Yarra City Council,2016,15.7,9.35,25.47
