Postcode,LGA
3206,Port Phillip City Council
3078,Darebin City Council
3078,Yarra City Council
3018,Hobsons Bay City Council
3028,Hobsons Bay City Council
3025,Hobsons Bay City Council
3143,Stonnington City Council
3032,Moonee Valley City Council
3034,Moonee Valley City Council
3183,Port Phillip City Council
3204,Glen Eira City Council
3165,Glen Eira City Council
3019,Maribyrnong City Council
3187,Glen Eira City Council
3012,Hobsons Bay City Council
3056,Moreland City Council
3057,Moreland City Council
3055,Moreland City Council
3083,Darebin City Council
3121,Yarra City Council
3053,Melbourne City Council
3054,Melbourne City Council
3054,Yarra City Council
3163,Glen Eira City Council
3162,Glen Eira City Council
3145,Glen Eira City Council
3161,Glen Eira City Council
3068,Yarra City Council
3058,Darebin City Council
3058,Moreland City Council
3066,Yarra City Council
3008,Melbourne City Council
3002,Melbourne City Council
3185,Glen Eira City Council
3184,Port Phillip City Council
3040,Moonee Valley City Council
3041,Moonee Valley City Council
3060,Moreland City Council
3065,Yarra City Council
3068,Moreland City Council
3031,Melbourne City Council
3031,Moonee Valley City Council
3011,Maribyrnong City Council
3146,Stonnington City Council
3046,Moreland City Council
3043,Moreland City Council
3033,Moonee Valley City Council
3012,Maribyrnong City Council
3144,Stonnington City Council
3085,Darebin City Council
3145,Stonnington City Council
3032,Maribyrnong City Council
3000,Melbourne City Council
3004,Melbourne City Council
3004,Port Phillip City Council
3039,Moonee Valley City Council
3015,Hobsons Bay City Council
3042,Moonee Valley City Council
3051,Melbourne City Council
3070,Darebin City Council
3052,Melbourne City Council
3044,Moreland City Council
3207,Melbourne City Council
3207,Port Phillip City Council
3181,Stonnington City Council
3072,Darebin City Council
3073,Darebin City Council
3185,Port Phillip City Council
3205,Port Phillip City Council
3006,Melbourne City Council
3141,Melbourne City Council
3141,Stonnington City Council
3006,Port Phillip City Council
3182,Port Phillip City Council
3183,Glen Eira City Council
3071,Darebin City Council
3142,Stonnington City Council
3003,Melbourne City Council
3016,Hobsons Bay City Council
3181,Port Phillip City Council
3013,Maribyrnong City Council
